SINGLE-DAY EXECUTION TRACE — EURUSD M15 — 2022-10-04
Data inspection window: 2022-10-03 22:00 UTC to 2022-10-04 23:45 UTC
12:00 LOCK | London High=0.99039 Low=0.98527 Range=51.2 pips SL distance=12.8 pips Close=0.98906
Session type=BULLISH_TREND | Momentum filter disabled=False | Bias=BULLISH | M15 structure=NEUTRAL | New-entry cutoff=18:00 UTC | Entry mode=workflow: sweep candle body; range boundary; confirmed 45-55% trend retracement then midpoint order

[00] 2022-10-04 12:00 UTC | O=0.98902 H=0.98973 L=0.98860 C=0.98908 | GATES circuit=OPEN cooldown=CLEAR spread=1.00p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False
[33] 2022-10-04 20:15 UTC | O=0.99878 H=0.99936 L=0.99852 C=0.99910 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[34] 2022-10-04 20:30 UTC | O=0.99910 H=0.99929 L=0.99893 C=0.99902 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[35] 2022-10-04 20:45 UTC | O=0.99901 H=0.99911 L=0.99835 C=0.99842 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[36] 2022-10-04 21:00 UTC | O=0.99835 H=0.99855 L=0.99825 C=0.99845 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[37] 2022-10-04 21:15 UTC | O=0.99830 H=0.99859 L=0.99826 C=0.99829 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[38] 2022-10-04 21:30 UTC | O=0.99826 H=0.99832 L=0.99822 C=0.99826 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[39] 2022-10-04 21:45 UTC | O=0.99827 H=0.99837 L=0.99824 C=0.99826 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False
